REH,Índice,Waypoint,Coordenadas
ACLIMAÇÃO,1,CEBOLINHA,23°35’30’’S/ 046°39’03’’W
ACLIMAÇÃO,2,ANA ROSA,23°34’55’’S/ 046°38’18’’W
ACLIMAÇÃO,3,PARQUE ACLIMAÇÃO,23°34’28’’S/ 046°37’43’’W
ACLIMAÇÃO,4,ITAÚ CTO,23°33’28’’S/ 046°36’56’’W
ACLIMAÇÃO,5,ALCÂNTARA MACHADO,23°33’10’’S/ 046°36’41’’W
ANCHIETA,1,ENTRONCAMENTO,23°36’13’’S/ 046°36’02’’W
ANCHIETA,2,MERCEDES,23°39’58’’S/ 046°34’24’’W
ANCHIETA,3,TREVO ANCHIETA,23°45’49’’S/ 046°32’03’’W
ANCHIETA,4,PEDÁGIO ANCHIETA,23°47’21’’S/ 046°31’11’’W
ANHANGUERA NORTE,1,TREVO VINHEDO,23°03’41’’S/ 046°59’38’’W
ANHANGUERA NORTE,2,SANTOS DUMONT,22°55’58’’S/ 047°04’26’’W
ANHANGUERA NORTE,3,HONDA,22°49’15’’S/ 047°11’47’’W
ANHANGUERA NORTE,4,PEDÁGIO AMERICANA,22°46’15’’S/ 047°14’20’’W
ANHANGUERA SUL,1,MARCO ZERO,23°30’52’’S/ 046°43’34’’W
ANHANGUERA SUL,2,PÃO DE AÇÚCAR,23°29’08’’S/ 046°46’10’’W
ANHANGUERA SUL,3,JARAGUÁ,23°27’07’’S/ 046°47’13’’W
ANHANGUERA SUL,4,TREVO ANHANGUERA BANDEIRANTES,23°15’43’’S/ 046°51’59’’W
ARICANDUVA,1,PONTE ARICANDUVA,23°31’23’’S/ 046°33’30’’W
ARICANDUVA,2,ELEVADO ARICANDUVA,23°32’06’’S/ 046°32’54’’W
ARICANDUVA,3,PARQUE DO CARMO,23°35’40’’S/ 046°27’57’’W
ARICANDUVA,4,SÃO MATEUS,23°36’45’’S/ 046°28’35’’W
CAMPOS,1,SUZANO,23°32’03’’S/ 046°18’29’’W
CAMPOS,2,GM,23°26’27’’S/ 046°15’26’’W
CAMPOS,3,TRAVÉS ISABEL,23°19’22’’S/ 046°12’21’’W
CAMPOS,4,IGARATÁ,23°12’21’’S/ 046°09’33’’W
CAMPOS,5,SÃO JOSÉ,23°04’42’’S/ 045°55’25’’W
CAMPOS,6,LOBATO,22°57’19’’S/ 045°50’19’’W
CASTELO,1,BARUERI,23°30’18’’S/ 046°52’36’’W
CASTELO,2,RODOANEL CASTELO,23°30’32’’S/ 046°49’17’’W
CASTELO,3,CEBOLÃO,23°31’34’’S/ 046°45’01’’W
CONGONHAS,1,VIADUTO ANTÁRTICA,23°31’29’’S/ 046°40’15’’W
CONGONHAS,2,CEBOLINHA,23°35’30’’S/ 046°39’03’’W
CONGONHAS,3,CLUBE SÍRIO,23°36’28’’S/ 046°39’10’’W
ECOLÓGICO,1,SHOPPING TATUAPÉ,23°32’18’’S/ 046°34’25’’W
ECOLÓGICO,2,PONTE ARICANDUVA,23°31’23’’S/ 046°33’30’’W
ECOLÓGICO,3,BARRAGEM TIETÊ,23°30’08’’S/ 046°32’31’’W
ECOLÓGICO,4,DUMONT,23°28’49’’S/ 046°28’09’’W
ESPRAIADA,1,PONTE ESTAIADA,23°36’46’’S/ 046°41’58’’W
ESPRAIADA,2,WASHINGTON LUÍS,23°38’01’’S/ 046°40’09’’W
ESTÁDIO,1,AVENIDA MORUMBI,23°36’42’’S/ 046°42’46’’W
ESTÁDIO,2,EXTRA JAGUARÉ,23°33’26’’S/ 046°44’51’’W
ESTÁDIO,3,SHOPPING CONTINENTAL,23°32’53’’S/ 046°45’19’’W
ESTADO,1,VD SÃO CARLOS,23°34’02’’S/ 046°36’14’’W
ESTADO,2,VD GRANDE SÃO PAULO,23°35’12’’S/ 046°35’53’’W
ESTADO,3,BARTIRA,23°36’38’’S/ 046°33’38’’W
ESTADO,4,UTINGA,23°37’27’’S/ 046°32’29’’W
ESTADO,5,ESTAÇÃO SALADINO,23°38’15’’S/ 046°32’06’’W
ESTADO,6,MAXXI,23°39’23’’S/ 046°30’02’’W
EXTERNO,1,EXTRA JAGUARÉ,23°33’26’’S/ 046°44’51’’W
EXTERNO,2,PONTE JAGUARÉ,23°32’45’’S/ 046°44’05’’W
FÁBRICA,1,PIRATININGA,23°42’11’’S/ 046°40’28’’W
FÁBRICA,2,KENTINHA,23°43’20’’S/ 046°36’28’’W
FÁBRICA,3,MERCEDES,23°39’58’’S/ 046°34’24’’W
FÁBRICA,4,ESTAÇÃO SALADINO,23°38’15’’S/ 046°32’06’’W
FERNÃO,1,PONTE ARICANDUVA,23°31’23’’S/ 046°33’30’’W
FERNÃO,2,DUTRA,23°29’54’’S/ 046°33’34’’W
FERNÃO,3,CEMITÉRIO FERNÃO,23°26’44’’S/ 046°34’08’’W
FERNÃO,4,RODOANEL FERNÃO,23°25’34’’S/ 046°34’22’’W
FERROVIA,1,MAXXI,23°39’23’’S/ 046°30’02’’W
FERROVIA,2,RIBEIRÃO PIRES,23°42’50’’S/ 046°24’53’’W
GUARAPIRANGA,1,EMPRESARIAL,23°39’09’’S/ 046°43’24’’W
GUARAPIRANGA,2,PARELHEIROS,23°48’11’’S/ 046°44’04’’W
IMIGRANTES,1,KENTINHA,23°43’20’’S/ 046°36’28’’W
IMIGRANTES,2,TREVO IMIGRANTES,23°45’48’’S/ 046°35’28’’W
IMIGRANTES,3,PEDÁGIO IMIGRANTES,23°49’15’’S/ 046°34’58’’W
JUNDIAÍ,1,TREVO ANHANGUERA BANDEIRANTES,23°15’43’’S/ 046°51’59’’W
JUNDIAÍ,2,BAHIA,23°14’06’’S/ 046°51’51’’W
JUNDIAÍ,3,ESTAÇÃO,23°11’42’’S/ 046°52’20’’W
JUNDIAÍ,4,EXTRA JUNDIAÍ,23°10’28’’S/ 046°53’37’’W
JUNDIAÍ,5,LOUVEIRA,23°05’24’’S/ 046°56’58’’W
JUNDIAÍ,6,TREVO VINHEDO,23°03’41’’S/ 046°59’38’’W
PINHEIROS,1,CEBOLÃO,23°31’34’’S/ 046°45’01’’W
PINHEIROS,2,PONTE JAGUARÉ,23°32’45’’S/ 046°44’05’’W
PINHEIROS,3,PONTE ESTAIADA,23°36’46’’S/ 046°41’58’’W
PINHEIROS,4,GRANJA JULIETA,23°37’37’’S/ 046°42’43’’W
PINHEIROS,5,EMPRESARIAL,23°39’09’’S/ 046°43’24’’W
PINHEIROS,6,PIRATININGA,23°42’11’’S/ 046°40’28’’W
RADIAL,1,BRÁS,23°32’49’’S/ 046°37’09’’W
RADIAL,2,SHOPPING TATUAPÉ,23°32’18’’S/ 046°34’25’’W
RADIAL,3,ELEVADO ARICANDUVA,23°32’06’’S/ 046°32’54’’W
RADIAL,4,ITAQUERA,23°32’32’’S/ 046°27’56’’W
RAPOSO,1,ARAÇOIABA,23°31’07’’S/ 047°35’45’’W
RAPOSO,2,HOSPITAL,23°31’33’’S/ 047°31’10’’W
RAPOSO,3,MAKRO,23°31’29’’S/ 047°26’30’’W
RAPOSO,4,ASSAÍ,23°31’05’’S/ 047°21’00’’W
RAPOSO,5,CLUBE,23°30’46’’S/ 047°15’15’’W
RAPOSO,7,ALUMÍNIO,23°31’50’’S/ 047°14’53’’W
RAPOSO,8,MAIRINQUE,23°32’11’’S/ 047°11’19’’W
RAPOSO,9,SÃO ROQUE,23°32’34’’S/ 047°08’10’’W
RAPOSO,10,MAILASQUI,23°34’01’’S/ 047°04’20’’W
RAPOSO,11,VARGEM GRANDE,23°36’20’’S/ 047°00’59’’W
RAPOSO,12,EXTRA COTIA,23°36’09’’S/ 046°54’45’’W
RAPOSO,13,RODOANEL RAPOSO,23°35’32’’S/ 046°48’37’’W
RODOANEL,1,TREVO ANCHIETA,23°45’49’’S/ 046°32’03’’W
RODOANEL,2,TREVO IMIGRANTES,23°45’48’’S/ 046°35’28’’W
RODOANEL,3,PARELHEIROS,23°48’11’’S/ 046°44’04’’W
RODOANEL,4,RODOANEL RAPOSO,23°35’32’’S/ 046°48’37’’W
RODOANEL,5,RODOANEL CASTELO,23°30’32’’S/ 046°49’17’’W
RODOANEL,6,IMPERIAL,23°29’22’’S/ 046°48’26’’W
SENNA,1,GM,23°26’27’’S/ 046°15’26’’W
SENNA,2,PEDÁGIO SENNA,23°23’03’’S/ 046°09’14’’W
SUZANO,1,ITAQUERA,23°32’32’’S/ 046°27’56’’W
SUZANO,2,FÁBRICA FERRAZ,23°32’19’’S/ 046°23’24’’W
SUZANO,3,SUZANO,23°32’03’’S/ 046°18’29’’W
SUZANO,4,JUNDIAPEBA,23°32’34’’S/ 046°15’30’’W
TANCREDO,1,VD GRANDE SÃO PAULO,23°35’12’’S/ 046°35’53’’W
TANCREDO,2,ENTRONCAMENTO,23°36’13’’S/ 046°36’02’’W
TANCREDO,3,MARIA MALUF,23°37’45’’S/ 046°37’47’’W
TIETÊ,1,CABREÚVA,23°18’23’’S/ 047°07’53’’W
TIETÊ,2,PIRAPORA,23°23’47’’S/ 046°59’58’’W
TIETÊ,3,BARUERI,23°30’18’’S/ 046°52’36’’W
REFINARIA,1,MAXXI,23°39’23’’S/ 046°30’02’’W
,2,SÃO MATEUS,23°36’45’’S/ 046°28’35’’W
