OACI,CIAD,Nome,Município,Longitude,Latitude,Operação,Altitude,Rampa de Aproximação,Formato da Área de Pouso,Dimensões,Resistência,Superfície,Validade do Registro,Portaria de Registro,Link
SIMM,SP0529,Edifício Corporate Park,SÃO PAULO,"046°40'20,0""O","23°35'14,8""S",VFR Diurna/Noturna,,8,Quadrado,22m x 22m,,Concreto,19/08/2021,PA2018-3970,https://pergamum.anac.gov.br/arquivos/PA2018-3970.pdf
SNVO,SP0733,Vigor,SÃO PAULO,"046°36'14,0""O","23°31'59,0""S",VFR Diurna/Noturna,,30,Quadrado,21m x 21m,,Concreto,12/02/2025,PA2019-0178,https://pergamum.anac.gov.br/arquivos/PA2019-0178.pdf
SSUF,SP0884,Rede D'Or São Luiz Anália Franco,SÃO PAULO,"046°33'30,0""O","23°32'56,0""S",VFR Diurna/Noturna,,24,Quadrado,21m x 21m,,Concreto,,,
SDNR,SP0391,Banco Santander,SÃO PAULO,"046°42'50,0""O","23°39'08,0""S",VFR Diurna/Noturna,,9 27,Quadrado,21m x 21m,,Concreto,24/09/2023,PA2018-0644,https://pergamum.anac.gov.br/arquivos/PA2018-0644.pdf
SNIL,SP0847,HBR Lead Corporate Faria Lima,SÃO PAULO,"046°40'48,5""O","23°35'31,2""S",VFR Diurna/Noturna,,6 24,Quadrado,20m x 20m,,Metálico,,,
SDSX,SP0420,ITM Expo,SÃO PAULO,"046°44'42""O","23°31'37,0""S",VFR Diurna/Noturna,,1,Quadrado,24m x 24m,,Metálico,04/07/2022,PA2012-1322,https://pergamum.anac.gov.br/arquivos/PA2012-1322.pdf
SDAX,SP0293,Bradesco - Sta Cecília,SÃO PAULO,"046°38'57,0""O","23°32'24,0""S",VFR Diurna/Noturna,,2 30,Quadrado,20m x 20m,,Metálico,04/08/2021,PA2011-1499,https://pergamum.anac.gov.br/arquivos/PA2011-1499.pdf
SSUH,SP0781,Helinorte,SÃO PAULO,"046°34'50,0""O","23°24'54,0""S",VFR Diurna,,21,Quadrado,18m x 18m,,Concreto,23/06/2026,PA2016-1569,https://pergamum.anac.gov.br/arquivos/PA2016-1569.pdf
SDMN,SP0385,Continental Tower,SÃO PAULO,"046°41'57,0""O","23°36'06,0""S",VFR Diurna/Noturna,,13 34,Quadrado,30m x 30m,,Concreto,02/05/2023,PA2016-1331,https://pergamum.anac.gov.br/arquivos/PA2016-1331.pdf
SDEL,SP0319,Condomínio Edifício Spazio JK,SÃO PAULO,"046°41'08,0""O","23°35'28,0""S",VFR Diurna/Noturna,,15 36,Quadrado,21m x 21m,,Concreto,06/03/2023,PA2017-0153,https://pergamum.anac.gov.br/arquivos/PA2017-0153.pdf
SDEZ,SP0324,Unibanco Eusébio Matoso,SÃO PAULO,"046°41'56,0""O","23°34'21,0""S",VFR Diurna/Noturna,,1 19,Quadrado,23m x 23m,,Concreto,17/04/2023,PA2013-0980,https://pergamum.anac.gov.br/arquivos/PA2013-0980.pdf
SDFM,SP0327,DJY,SÃO PAULO,"046°41'07,0""O","23°35'51,0""S",VFR Diurna/Noturna,,3,Quadrado,18m x 18m,,Concreto,24/07/2024,PA2014-1676,https://pergamum.anac.gov.br/arquivos/PA2014-1676.pdf
SDFP,SP0329,Folha de São Paulo,SÃO PAULO,"046°38'45,0""O","23°32'16,0""S",VFR Diurna,,8 23,Quadrado,18m x 18m,,Concreto,06/03/2023,PA2013-0573,https://pergamum.anac.gov.br/arquivos/PA2013-0573.pdf
SDFV,SP0331,Federação Paulista de Futebol,SÃO PAULO,"046°40'01,9""O","23°31'18,0""S",VFR Diurna/Noturna,,16,Quadrado,18m x 18m,,Metálico,06/01/2021,PA2011-0009,https://pergamum.anac.gov.br/arquivos/PA2011-0009.pdf
SDFW,SP0332,Condomínio Edifício San Paolo,SÃO PAULO,"046°41'16,0""O","23°34'30,0""S",VFR Diurna/Noturna,,8 23,Quadrado,21m x 21m,,Concreto,04/03/2023,PA2013-1286,https://pergamum.anac.gov.br/arquivos/PA2013-1286.pdf
